Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,DaysEnrolled,YearsEnrolled,Age,AgeGroup,MntTotal,MntRegProds,NbChildren,ChildrenPresence,AcceptedCmpTotal,AcceptedSomeCmp,NumTotalPurchases,Cluster
Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,663,1,57,45-64,1617,1529,0,0,0,0,22,1
Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,113,0,60,45-64,27,21,2,1,0,0,4,0
Graduation,HasPartner,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,312,0,49,45-64,776,734,0,0,0,0,20,1
Graduation,HasPartner,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,139,0,30,26-44,53,48,1,1,0,0,6,0
PhD,HasPartner,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,161,0,33,26-44,422,407,1,1,0,0,14,2
Master,HasPartner,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,293,0,47,45-64,716,702,1,1,0,0,20,2
Graduation,Single,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,593,1,43,26-44,590,563,1,1,0,0,17,2
PhD,HasPartner,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,417,1,29,26-44,169,146,1,1,0,0,8,0
PhD,HasPartner,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,388,1,40,26-44,46,44,1,1,0,0,5,0
PhD,HasPartner,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,108,0,64,45-64,49,36,2,1,1,1,1,0
Basic,HasPartner,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,593,1,38,26-44,61,45,0,0,0,0,5,0
Graduation,Single,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,226,0,55,45-64,1102,1072,0,0,0,0,15,1
Master,Single,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,226,0,62,45-64,310,296,2,1,0,0,12,2
Graduation,HasPartner,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,627,1,27,26-44,46,41,0,0,0,0,4,0
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,582,1,68,65+,1315,1270,0,0,2,1,25,1
Graduation,HasPartner,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,552,1,34,26-44,96,92,2,1,0,0,6,0
Graduation,HasPartner,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,667,1,68,65+,317,289,0,0,0,0,11,2
Master,HasPartner,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,458,1,65,65+,1782,1606,1,1,1,1,24,2
2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,603,1,29,26-44,133,94,1,1,0,0,6,0
Graduation,HasPartner,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,690,1,32,26-44,316,268,0,0,0,0,11,2
Graduation,HasPartner,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,539,1,35,26-44,1730,1729,1,1,0,0,28,2
PhD,HasPartner,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,553,1,65,65+,972,953,1,1,1,1,14,2
PhD,HasPartner,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,169,0,60,45-64,544,539,1,1,0,0,17,2
Graduation,HasPartner,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,1,63,45-64,444,345,1,1,0,0,13,2
Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,543,1,45,45-64,75,62,0,0,0,0,6,0
Graduation,HasPartner,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,398,1,38,26-44,257,216,2,1,0,0,10,2
Graduation,HasPartner,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,394,1,25,18-25,131,121,1,1,0,0,7,0
PhD,HasPartner,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,219,0,49,45-64,1672,1672,0,0,1,1,25,1
Master,Single,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,38,0,25,18-25,30,26,0,0,0,0,6,0
Master,HasPartner,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,414,1,51,45-64,318,229,0,0,0,0,10,2
Graduation,HasPartner,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,627,1,44,26-44,120,117,1,1,1,1,7,0
PhD,Single,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,608,1,62,45-64,302,259,2,1,0,0,11,2
Master,HasPartner,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,494,1,68,65+,1196,1174,0,0,0,0,17,1
Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,304,0,63,45-64,65,62,2,1,0,0,5,0
PhD,HasPartner,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,180,0,44,26-44,913,878,1,1,0,0,23,2
2n Cycle,HasPartner,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,300,0,38,26-44,81,45,1,1,0,0,6,0
Graduation,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,0,41,26-44,67,63,1,1,0,0,5,0
PhD,Single,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,513,1,71,65+,902,860,0,0,1,1,22,1
Graduation,HasPartner,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,426,1,34,26-44,1395,1293,1,1,0,0,19,1
Master,HasPartner,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,474,1,29,26-44,53,46,1,1,0,0,5,0
Graduation,HasPartner,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,552,1,57,45-64,22,19,1,1,0,0,3,0
Master,HasPartner,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,270,0,39,26-44,31,19,1,1,0,0,5,0
